database_ingredient,Energy,Protein,Total water,Thiamin (B1),Riboflavin (B2),Niacin,Pyridoxine (B6),Cobalamin (B12),Vitamin A,Vitamin C,Vitamin D,Vitamin E,Calcium,Phosphorus,Zinc,Iron,Magnesium,Sodium,Potassium
"Soft drink, cola flavour, decaffeinated",2.06,0,0.894,0,0,0,0,0,0,0,0,0,0.01,0.1,0,0,0,0.02,0
"Soft drink, cola flavour, intense sweetened or diet",0,0,0.999,0,0,0,0,0,0,0,0,0,0.01,0.1,0,0,0,0.03,0
"Soft drink, cola flavour, intense sweetened or diet, decaffeinated",0,0,0.999,0,0,0,0,0,0,0,0,0,0.01,0.1,0,0,0,0.03,0
"Soft drink, energy drink, Red Bull",1.82,0.001,0.883,0,0.001,0.081,0.023,0.02,0,0,0,0,0.09,0.1,0,0,0,0.71,0
"Soft drink, energy drink, V",1.82,0.001,0.883,0,0.008,0.076,0.025,0.006,0,0,0,0,0.09,0.1,0,0,0,1.1,0
"Soft drink, fruit flavours",1.42,0,0.91,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.14,0.01
"Soft drink, fruit flavours, intense sweetened or diet",0.01,0,1,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0.14,0.01
"Kombucha, flavoured, added juice or intense sweeteners",0.28,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02
"Soft drink, tonic water",1.42,0,0.911,0,0,0,0,0,0,0,0,0,0.01,0,0.001,0,0,0.12,0
"Soft drink, tonic water, intense sweetened or diet",0.01,0,0.999,0,0,0,0,0,0,0,0,0,0.01,0,0.001,0,0,0.12,0
"Tea, green, plain, without milk",0.07,0.002,0.957,0,0.001,0,0,0,0,0,0,0,0.03,0.01,0.001,0,0.02,0.01,0.19
"Tea, regular, black, brewed from leaf or teabags, without milk",0.01,0.001,0.998,0,0,0,0,0,0,0,0,0,0.01,0.02,0,0,0.01,0,0.17
"Tea, decaffeinated, black, brewed from leaf or teabags, without milk",0.06,0.001,0.998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06
"Water, bottled, still",0,0,1,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0.05,0.01,0
"Water, tap",0,0,1,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.01,0.03,0
"Water, soda",0,0,1,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0.01,0.03,0
"Biscuit, savoury, rice cracker, plain",16.26,0.07,0.035,0,0,0.029,0,0,0,0,0,0.009,0.07,0.88,0.014,0.004,0.19,4,0.94
"Biscuit, savoury, rice cracker, flavoured (excluding seaweed)",16.46,0.071,0.038,0,0,0.029,0,0,0.06,0,0,0.009,0.19,1.01,0.014,0.005,0.23,5.54,1.29
"Biscuit, savoury, rice cracker, seaweed flavoured",15,0.096,0.046,0,0,0.039,0,0,0,0,0,0,0.21,1.4,0.014,0.011,0.46,6.6,2.2
"Biscuit, savoury, rice cracker, added vegetable powder",16.51,0.066,0.035,0,0,0.013,0,0,0.18,0,0,0.003,0.23,0.9,0.013,0.007,0.21,4.7,1.8
"Biscuit, savoury, from white wheat flour, cheese-flavoured",20.86,0.12,0.026,0.002,0.001,0.027,0.001,0.001,0.28,0.05,0,0.053,0.93,2.36,0.01,0.013,0.34,8.71,1.8
