database_ingredient,Energy,Protein,Total water,Thiamin (B1),Riboflavin (B2),Niacin,Pyridoxine (B6),Cobalamin (B12),Vitamin A,Vitamin C,Vitamin D,Vitamin E,Calcium,Phosphorus,Zinc,Iron,Magnesium,Sodium,Potassium
"Bread, from white Jackaroo flour, added fibre and vitamins B1 & folate & Fe",10.52,0.083,0.393,0.009,0,0.038,0.001,0,0,0,0,0.001,1.5,1,0.009,0.048,0.33,4.1,1.4
"Bread, from white Jackaroo flour, added fibre and vitamins B1 & folate & Fe, toasted",12.38,0.098,0.286,0.008,0,0.045,0.001,0,0,0,0,0.001,1.76,1.18,0.01,0.057,0.39,4.82,1.65
"Bread, from white flour, Italian-style, commercial",10.7,0.09,0.353,0.003,0,0.026,0,0,0,0,0,0.004,0.16,0.98,0.008,0.008,0.24,5,0.98
"Bread, from white flour, Italian-style, commercial, toasted",12.74,0.107,0.23,0.003,0,0.031,0,0,0,0,0,0.004,0.19,1.17,0.009,0.01,0.28,5.95,1.17
"Bread roll, from white flour, toasted",12.14,0.108,0.237,0.004,0,0.059,0.001,0,0,0,0,0.011,1.25,1.17,0.01,0.015,0.34,4.42,1.59
"Bread roll, topped with cheese",11.73,0.124,0.344,0.003,0.001,0.051,0.001,0.002,0.4,0,0,0.009,2.38,1.76,0.014,0.01,0.29,4.41,1.24
"Bread roll, topped with cheese & bacon",11.74,0.166,0.371,0.005,0.001,0.07,0.002,0.004,0.4,0,0,0.007,2.18,2.56,0.016,0.009,0.29,7.65,1.87
"Bread, from wholemeal flour, toasted",11.68,0.122,0.284,0.005,0.001,0.056,0.001,0.001,0,0,0,0.002,1.57,1.84,0.015,0.023,0.74,4.92,2.49
"Bread, from wholemeal flour, extra grainy & seeds",10.77,0.11,0.356,0.005,0.001,0.051,0.001,0,0,0,0,0.01,1.26,1.79,0.015,0.022,0.8,3.7,2.4
"Bread, from wholemeal flour, extra grainy & seeds, toasted",12.67,0.13,0.242,0.005,0.001,0.06,0.001,0,0,0,0,0.011,1.49,2.1,0.017,0.026,0.94,4.35,2.82
"Bread roll, from wholemeal flour",10.95,0.101,0.325,0.006,0.001,0.038,0.001,0.001,0,0,0,0.01,0.9,1.6,0.011,0.025,0.54,5.6,1.9
"Bread roll, from wholemeal flour, toasted",12.88,0.119,0.206,0.006,0.001,0.045,0.002,0.002,0,0,0,0.011,1.06,1.88,0.013,0.029,0.64,6.59,2.24
"Bread, organic",10.34,0.116,0.396,0.002,0,0.041,0.001,0,0,0,0,0.029,0.48,1.6,0.012,0.018,0.52,4.9,1.8
"Bread, organic, toasted",12.16,0.137,0.29,0.001,0,0.048,0.001,0,0,0,0,0.032,0.56,1.88,0.014,0.021,0.61,5.76,2.12
"Bread, mixed grain",10.78,0.107,0.376,0.005,0.001,0.037,0.001,0.001,0,0,0,0.006,1.55,1.34,0.012,0.017,0.6,4.09,2.17
"Bread, mixed grain, toasted",12.68,0.126,0.266,0.004,0.001,0.043,0.001,0.002,0,0,0,0.007,1.82,1.58,0.014,0.02,0.71,4.81,2.55
"Bread, from white flour, extra grainy & seeds",11.49,0.105,0.331,0.006,0,0.052,0.001,0,0,0,0,0.014,0.81,1.53,0.013,0.019,0.63,3.65,1.99
"Bread, from white flour, extra grainy & seeds, toasted",13.52,0.123,0.213,0.006,0.001,0.061,0.001,0,0,0,0,0.015,0.96,1.8,0.015,0.022,0.74,4.29,2.34
"Bread roll, mixed grain",10.46,0.122,0.358,0.004,0,0.079,0.002,0.001,0.01,0,0,0.017,1.6,2.4,0.017,0.047,0.8,6.6,2.9
"Bread roll, mixed grain, toasted",12.3,0.144,0.245,0.003,0,0.093,0.002,0.001,0.01,0,0,0.019,1.88,2.82,0.02,0.055,0.94,7.76,3.41
"Bread, from white flour, Turkish",10.35,0.078,0.385,0.004,0,0.023,0,0,0,0,0,0.004,0.5,0.94,0.007,0.008,0.26,5.3,1.1
"Bread, from white flour, Turkish, toasted",12.33,0.092,0.268,0.004,0,0.028,0,0,0,0,0,0.005,0.6,1.12,0.009,0.01,0.31,6.31,1.31
"Bread, from white flour, added dried fruit",11.12,0.088,0.338,0.004,0,0.027,0,0,0,0,0,0.004,1.1,0.89,0.007,0.015,0.29,2.7,3.2
"Bread, from wheat flour, added dried fruit, toasted",12.36,0.098,0.264,0.004,0,0.03,0,0.001,0,0,0,0.004,1.22,0.99,0.008,0.017,0.32,3,3.56
"Bread, garlic, commercial, cooked",14.42,0.08,0.295,0.006,0,0.022,0,0.003,0.34,0,0,0.016,0.66,0.82,0.007,0.009,0.28,5.8,1.3
"Bread, garlic or herb, homemade, cooked",12.82,0.088,0.303,0.003,0,0.047,0.001,0,0.54,0,0.001,0.011,0.99,0.93,0.008,0.012,0.28,4.22,1.52
"Bread, gluten free",8.88,0.055,0.456,0.004,0.001,0.021,0.001,0.002,0,0,0,0.025,0.5,1.4,0.005,0.01,0.23,5.26,1.9
"Bread, gluten free, toasted",10.57,0.065,0.352,0.003,0.001,0.025,0.001,0.002,0,0,0,0.028,0.6,1.67,0.006,0.012,0.27,6.26,2.26
"Bread, from rye flour, sour dough",9.8,0.092,0.371,0.002,0,0.015,0,0,0,0,0,0.002,0.32,1.2,0.01,0.011,0.32,5.1,1.3
"Bread, from rye flour, sour dough, toasted",11.53,0.108,0.26,0.002,0,0.018,0,0,0,0,0,0.002,0.38,1.41,0.011,0.013,0.38,6,1.53
"Bun, sweet, with dried fruit, uniced",12.02,0.076,0.318,0.007,0,0.029,0.001,0,0,0,0,0.003,0.45,1.22,0.008,0.024,0.3,2.82,1.83
"Bun, sweet, with dried fruit, iced",12.05,0.064,0.32,0.002,0,0.022,0.001,0,0.08,0,0,0.006,0.18,0.81,0.006,0.008,0.23,2.67,1.76
"Bun, sweet, hot cross bun, with dried fruit",11.08,0.072,0.283,0.004,0.001,0.026,0,0,0,0,0,0.005,0.6,1,0.007,0.014,0.29,2.3,3.1
"Crumpet, from white flour, toasted",8.6,0.056,0.45,0.005,0,0.021,0.001,0.001,0,0,0,0.001,0.92,1.74,0.004,0.01,0.19,10.51,0.88
"Muffin, English style, from white flour",9.38,0.101,0.427,0.005,0,0.04,0,0,0,0,0,0,1.7,1.3,0.008,0.011,0.24,4.18,1.3
"Muffin, English style, from white flour, toasted",10.19,0.11,0.377,0.005,0,0.043,0,0,0,0,0,0,1.85,1.41,0.009,0.012,0.26,4.54,1.41
"Muffin, English style, from white flour, added dried fruit, toasted",10.5,0.098,0.35,0.004,0,0.038,0.001,0,0,0,0,0,1.69,1.32,0.008,0.013,0.27,3.92,2.25
"Breakfast cereal, beverage, non-chocolate flavours, added vitamins A, B1, B2, B3, B6, B12, C & folate & Ca",3.21,0.031,0.819,0.001,0.003,0.018,0.001,0.006,0.6,0,0,0.022,1.48,1.31,0.002,0.004,0.08,0.49,1.52
"Breakfast cereal, flakes of corn, unfortified",15.53,0.073,0.047,0.001,0,0.02,0,0,0,0,0,0.001,0.03,1.3,0.007,0.01,0.34,2.7,1.4
"Breakfast cereal, flakes of corn, added vitamins B1, B2, B3, C & folate, Fe & Zn",15.65,0.086,0.034,0.012,0.016,0.097,0,0,0.22,0.16,0,0.002,0.02,0.53,0.051,0.086,0.13,4.85,1
"Breakfast cereal, mixed grain (rice & wheat), flakes, added vitamins B1, B2, B3, B6 & folate, Ca, Fe & Zn",16.69,0.182,0.039,0.014,0.018,0.129,0.011,0,0,0.11,0,0,9.36,1.26,0.033,0.138,0.4,4.74,1.16
"Breakfast cereal, mixed grain (wheat & oat), flakes, apricot & sultana, added vitamins B1, B2, B3 & folate & Fe",14.72,0.091,0.08,0.013,0.008,0.086,0,0,0,0.06,0,0.008,0.31,2,0.015,0.086,0.81,0.32,3.88
"Breakfast cereal, mixed grain (wheat, oat & corn), extruded, added vitamins B1, B2, B3, B6, C & folate, Ca & Fe",15.51,0.233,0.028,0.028,0.018,0.189,0.013,0,0,0.11,0,0.004,2.84,1.22,0.015,0.112,0.41,6.02,1.37
"Breakfast cereal, mixed grain (wheat, rice & oat), flakes, honey, unfortified",14.88,0.084,0.037,0.001,0,0.049,0,0,0,0,0,0.005,0.27,2.4,0.018,0.026,0.81,2.2,2.7
"Breakfast cereal, puffed or popped rice, no added sugar or salt, unfortified",16.08,0.085,0.034,0.001,0,0.061,0,0,0,0,0,0,0.06,2.6,0.015,0.006,0.8,0.05,2
"Breakfast cereal, puffed or popped rice, added vitamins B1, B2, B3, C & folate, Fe & Zn",15.59,0.068,0.034,0.014,0.019,0.128,0,0,0,0.33,0,0,0.06,0.98,0.078,0.155,0.25,6.58,1.01
"Breakfast cereal, puffed or popped rice, cocoa coating, added vitamins B1, B2, B3, C & folate, Ca, Fe & Zn",16.15,0.053,0.031,0.013,0.017,0.112,0,0,0,0.55,0,0,3.88,0.94,0.078,0.138,0.36,4.96,2.08
"Breakfast cereal, wheat bran, flakes, sultanas, added vitamins B1, B2, B3, B6 & folate, Fe & Zn",13.91,0.098,0.105,0.013,0.011,0.077,0.009,0,0,0.09,0,0.014,0.56,3,0.048,0.135,1.2,2.69,7.57
"Breakfast cereal, wheat bran, pellets, added vitamins B1, B2 & folate, Fe & Zn",13.48,0.142,0.03,0.007,0.012,0.192,0.01,0,0.01,0,0,0.028,0.67,6.85,0.068,0.122,2.71,3.9,9.06
"Breakfast cereal, whole wheat, biscuit, bran, added vitamins B1, B2, B3 & folate & Fe",15.01,0.123,0.058,0.014,0.011,0.098,0.004,0,0.01,0,0,0.006,0.43,4.3,0.026,0.075,1.6,3.45,5.4
"Breakfast cereal, whole wheat, biscuit, no added sugar, unfortified",14.6,0.104,0.066,0.001,0,0.062,0,0,0,0,0,0.008,0.31,3.2,0.022,0.068,1.1,3.7,3.7
"Breakfast cereal, whole wheat, biscuit, added vitamins B1, B2, B3 & folate, Fe & Zn",14.18,0.119,0.061,0.026,0.017,0.201,0,0,0,0,0,0.005,0.38,2.29,0.023,0.143,1.11,2.99,3.5
"Breakfast cereal, whole wheat, flakes, dried fruit & nuts, added fibre, vitamins B1, B2, B3 & folate, Ca & Fe",14.9,0.091,0.07,0.005,0.008,0.095,0.001,0,0,0,0,0.014,3.76,2.2,0.02,0.074,0.86,0.98,5.27
"Breakfast cereal, whole wheat, puffed, no added sugar or salt, unfortified",14.14,0.1,0.069,0.001,0,0.067,0,0,0,0,0,0.009,0.32,3.4,0.027,0.033,0.97,0.02,3.6
"Muesli, toasted, added dried fruit & nuts, unfortified",16.8,0.089,0.061,0.008,0.006,0.069,0.002,0,0.06,0,0,0.016,0.56,2.7,0.018,0.046,0.97,0.33,3.8
"Muesli, untoasted or natural style, added dried fruit, unfortified",16.46,0.108,0.096,0.003,0.001,0.039,0,0,0.02,0,0,0.017,0.57,2.9,0.018,0.042,1.1,0.41,4.4
"Muesli, granola, toasted, added nuts & seeds, unfortified",17.76,0.112,0.041,0.003,0,0.03,0.001,0,0,0,0,0.069,0.67,3.2,0.018,0.031,1.1,0.68,3.6
"Muesli, granola, non-oat based, toasted, added nuts & seeds, unfortified",18.51,0.119,0.039,0.003,0,0.057,0.001,0,0,0,0,0.1,0.56,4.1,0.021,0.036,1.7,0.59,4.1
"Bread, banana",12.24,0.057,0.308,0,0,0.02,0,0.002,0.33,0,0,0.032,0.41,1.6,0.007,0.016,0.25,3.6,1.5
"Slice, brownie, chocolate, without nuts, commercial",17.35,0.071,0.133,0.001,0.001,0.01,0.001,0.003,0.12,0,0,0.008,0.39,1.33,0.005,0.016,0.31,1.3,2.17
"Slice, brownie, chocolate, with nuts, homemade",19.22,0.065,0.105,0.001,0.001,0.021,0.001,0.002,1.28,0,0.011,0.009,0.3,1.18,0.008,0.017,0.42,5.1,2.39
"Cake mix, plain, dry powder",16.03,0.048,0.055,0.001,0,0.019,0,0,0.04,0,0,0.009,0.61,4.3,0.003,0.008,0.13,6.7,0.81
"Cake, carrot, commercial, iced",16.2,0.044,0.26,0,0,0.017,0,0.002,1.07,0,0,0.037,0.41,1.6,0.007,0.016,0.25,3.05,1.5
"Cake, carrot, homemade, uniced",14.28,0.048,0.302,0.001,0.001,0.015,0.001,0.001,6.01,0.01,0.008,0.006,0.39,1.78,0.005,0.008,0.22,3.57,2.15
"Cake, carrot, homemade, iced",14.37,0.039,0.285,0.001,0.001,0.012,0,0.001,5.04,0,0.007,0.005,0.32,1.43,0.004,0.007,0.18,3.07,1.73
"Cake, chocolate, homemade, uniced",15.54,0.079,0.26,0.001,0.001,0.024,0.001,0.002,1.29,0,0.011,0.007,0.64,3.07,0.011,0.031,0.62,4.22,4.54
"Cake, chocolate, homemade, iced",15.54,0.066,0.241,0.001,0.001,0.02,0,0.002,1.27,0,0.009,0.006,0.54,2.55,0.01,0.028,0.56,3.61,4.1
"Cake, fruit, homemade, uniced",12.66,0.039,0.308,0.001,0,0.013,0.001,0.001,0.6,0.05,0.005,0.01,0.43,0.86,0.005,0.013,0.3,1.38,4.24
"Cake, lamington, unfilled",12.33,0.047,0.284,0,0,0.011,0.002,0.003,0.13,0,0,0.001,0.06,1.7,0.008,0.016,0.26,2.18,2
"Cake, mud, dark chocolate, commercial, chocolate ganache icing",14.15,0.051,0.262,0.001,0.001,0.008,0.001,0.003,0.12,0,0,0.04,0.39,1.33,0.005,0.016,0.31,2.9,2.17
"Cake, mud, dark chocolate, homemade, uniced",18.97,0.056,0.248,0,0.002,0.021,0,0.004,1.83,0,0.018,0.01,0.36,1.27,0.01,0.02,0.45,3.08,2.42
"Cake, mud, dark chocolate, homemade, chocolate ganache icing",19.19,0.052,0.228,0,0.002,0.021,0,0.003,1.64,0,0.014,0.009,0.4,1.34,0.011,0.023,0.54,2.56,2.64
"Cake, plain butter cake, commercial, uniced",14.86,0.082,0.254,0.001,0.002,0.018,0,0.001,0.49,0,0,0.01,0.52,3,0.005,0.012,0.14,4.8,1.1
"Cake, plain butter cake, commercial, iced",15.55,0.05,0.187,0.001,0.001,0.013,0,0.001,0.54,0,0,0.002,0.04,1.9,0.007,0.005,0.1,4.2,0.77
"Cake, plain butter cake, homemade, uniced",15.87,0.067,0.227,0.001,0.001,0.021,0,0.002,1.14,0,0.01,0.006,0.52,2.96,0.005,0.008,0.17,4.81,1.1
"Cake, plain butter cake, homemade, iced",15.64,0.054,0.226,0.001,0.001,0.017,0,0.002,1.14,0,0.008,0.005,0.42,2.37,0.004,0.006,0.14,4.06,0.89
"Cake, sponge, plain, commercial, uniced, unfilled",13.7,0.075,0.265,0.001,0.002,0.015,0.001,0.003,0.31,0,0,0.003,0.52,2.3,0.005,0.007,0.13,3.2,1.1
"Cake, sponge, plain, commercial, uniced, filled with jam & cream",15.24,0.067,0.215,0.001,0.002,0.014,0.001,0.002,0.66,0,0,0.004,0.54,2.05,0.004,0.007,0.13,2.78,1.14
"Doughnut, jam filled, sugar coated",15.35,0.06,0.249,0.001,0.001,0.025,0,0.001,0.04,0,0,0.003,0.55,1.72,0.005,0.009,0.18,4.4,1.14
"Doughnut, dusted with cinnamon & sugar",15.83,0.066,0.242,0.001,0.001,0.028,0,0.001,0.05,0,0,0.003,0.6,1.9,0.005,0.01,0.2,4.87,1.2
"Doughnut, iced",15.17,0.067,0.236,0.001,0.001,0.024,0,0.001,0,0,0,0.002,0.21,0.89,0.004,0.008,0.22,4.14,0.94
"Muffin, cake-style, berry, commercial",14.12,0.052,0.286,0.002,0.001,0.012,0.001,0.002,0.49,0.02,0,0.018,1.1,2.5,0.004,0.012,0.16,3.67,1.2
"Muffin, cake-style, chocolate chip, commercial",15.67,0.064,0.188,0.002,0.001,0.013,0.001,0.002,0.4,0,0,0.018,1.1,3.84,0.005,0.012,0.27,3.44,1.52
"Pancake, plain, homemade",9.27,0.074,0.531,0.001,0.002,0.021,0,0.004,0.69,0,0.008,0.004,0.83,1.28,0.007,0.007,0.21,0.79,1.74
"Pikelet or pancake, sweet, commercial",9.12,0.057,0.455,0.005,0,0.022,0,0.002,0.01,0,0,0.005,0.84,2.8,0.006,0.016,0.29,3.59,2.3
"Pikelet, plain, homemade",11.6,0.075,0.352,0.001,0.001,0.027,0,0.002,0.61,0,0,0.003,0.97,4.84,0.005,0.004,0.23,4.7,1.44
"Pudding, chocolate, homemade",7.71,0.036,0.551,0,0.001,0.011,0,0,0.2,0,0,0.001,0.53,1.65,0.004,0.009,0.24,1.62,1.82
"Pudding, plum, steamed or boiled, homemade",13.83,0.044,0.255,0.001,0.001,0.012,0.001,0.001,0.73,0,0.006,0.006,0.66,1.12,0.004,0.013,0.24,2.36,3.44
"Pudding, sticky date, homemade",14.68,0.03,0.283,0,0.001,0.011,0,0.001,1.15,0,0.006,0.005,0.5,1.14,0.003,0.009,0.17,3.37,1.8
"Scone, plain, commercial",13.99,0.079,0.236,0.001,0.001,0.029,0,0.002,1.02,0,0,0.009,0.7,1.05,0.007,0.009,0.2,9.68,1.1
"Scone, plain, homemade",13.5,0.08,0.297,0.001,0.001,0.025,0,0.001,0.66,0,0.003,0.003,0.81,4.23,0.006,0.008,0.25,5.6,1.55
"Scone, fruit, commercial",13.61,0.064,0.221,0.001,0.001,0.023,0.001,0.001,0.75,0,0,0.007,0.67,0.97,0.006,0.011,0.24,7.12,2.76
"Scone, pumpkin, homemade",12.17,0.074,0.347,0.001,0.001,0.022,0,0.001,0.9,0.02,0.005,0.004,0.59,3.73,0.006,0.009,0.24,4.17,1.92
"Slice, caramel",18.49,0.053,0.151,0.001,0.003,0.019,0,0.001,1.22,0,0.002,0.005,1.41,1.46,0.008,0.012,0.37,1.93,2.96
"Buckwheat groats, cooked in water, no added salt",2.9,0.027,0.819,0.001,0,0.016,0,0,0,0,0,0,0.04,0.67,0.006,0.006,0.43,0.02,1.23
"Amaranth, grain, whole, uncooked",15.27,0.152,0.116,0.001,0,0.032,0.005,0,0,0.04,0,0.01,1.47,4.05,0.027,0.07,2.37,0.02,5.08
"Barley, pearl, uncooked",14.24,0.099,0.098,0.002,0,0.089,0.002,0,0,0,0,0.007,0.28,1.92,0.012,0.022,0.95,0.1,3.5
"Barley, pearl, boiled, no added fat or salt",5.9,0.041,0.626,0.001,0,0.037,0.001,0,0,0,0,0.003,0.14,0.8,0.005,0.009,0.41,0.1,1.45
"Buckwheat groats, uncooked",13.64,0.128,0.149,0.006,0,0.076,0.002,0,0,0,0,0.002,0.14,3.14,0.029,0.03,1.99,0.01,5.77
"Bulgur, uncooked",14.34,0.103,0.111,0.002,0,0.078,0,0,0,0,0,0,0.3,2.8,0.03,0.025,0.83,0.03,3.2
"Bulgur, soaked in water, no added fat or salt",6.64,0.054,0.537,0.005,0,0.042,0,0,0,0,0,0,0.12,0.48,0.008,0.016,0.55,0.02,1.69
"Cornmeal (polenta), uncooked",14.21,0.085,0.123,0.001,0,0.006,0.001,0,0,0,0,0,0.02,0.95,0.006,0.005,0.34,0,1.3
"Cornmeal (polenta), boiled, no added fat or salt",4.52,0.027,0.721,0,0,0.002,0,0,0,0,0,0,0.02,0.3,0.002,0.002,0.12,0.02,0.42
"Couscous, uncooked",15.23,0.138,0.101,0.002,0,0.054,0,0,0,0,0,0,0.27,2,0.011,0.019,0.51,0.02,2.5
"Couscous, boiled, no added fat or salt",6.77,0.061,0.6,0.001,0,0.024,0,0,0,0,0,0,0.13,0.89,0.005,0.009,0.23,0.03,1.11
"Millet, uncooked",14.83,0.102,0.117,0.003,0,0.069,0.002,0,0,0,0,0,0.08,2.31,0.027,0.052,1.04,0.01,1.95
"Millet, boiled, no added fat or salt",4.87,0.033,0.71,0.001,0,0.023,0.001,0,0,0,0,0,0.04,0.76,0.009,0.017,0.35,0.02,0.64
"Maize, grits, uncooked",14.61,0.081,0.127,0.001,0,0.022,0,0,0.16,0,0,0,0.01,0.64,0.004,0.004,0.2,0,4.28
"Oats, hulled, uncooked",15.89,0.125,0.08,0.003,0,0.039,0.002,0,0,0,0,0.005,0.37,3.05,0.023,0.039,1.17,0.04,3.1
"Oats, rolled, uncooked",14.86,0.122,0.092,0.004,0,0.039,0.002,0,0,0,0,0.002,0.4,3.1,0.024,0.035,1.04,0.02,3.1
"Porridge, rolled oats, prepared with regular fat cows milk",5.15,0.053,0.729,0.001,0.002,0.015,0.001,0.003,0.42,0,0.001,0.001,1.07,1.34,0.007,0.006,0.27,0.34,1.86
"Porridge, rolled oats, prepared with water",3.74,0.03,0.796,0.001,0,0.006,0,0,0,0,0,0,0.11,0.84,0.005,0.01,0.29,0.01,0.74
"Oats, rolled, mixed with sugar or honey & other flavours, uncooked",16.29,0.083,0.068,0.002,0,0.019,0,0,0,0,0,0.002,0.47,2.6,0.016,0.025,0.77,0.08,2.4
"Porridge, rolled oats mixed with sugar or honey & other flavours, prepared with cows milk",5.86,0.046,0.693,0.001,0.002,0.011,0,0.003,0.36,0,0.001,0.001,0.97,1.3,0.006,0.006,0.25,0.31,1.7
"Quinoa, black, uncooked",14.55,0.131,0.126,0.001,0,0.026,0.005,0,0.01,0,0,0.021,0.58,4.08,0.033,0.043,1.96,0.06,5.63
"Quinoa, red, uncooked",15.38,0.141,0.124,0.003,0,0.028,0.003,0,0.01,0,0,0.028,0.41,3.77,0.036,0.043,1.68,0.04,5.63
"Quinoa, white, uncooked",15.72,0.122,0.115,0.004,0,0.025,0.004,0,0.01,0,0,0.018,0.48,4.11,0.031,0.036,1.97,0.08,5.63
"Quinoa, uncooked",15.5,0.129,0.119,0.003,0,0.026,0.004,0,0.01,0,0,0.021,0.47,4,0.033,0.039,1.88,0.07,5.63
"Quinoa, cooked in water, no added salt",4.32,0.036,0.754,0.001,0,0.007,0.001,0,0,0,0,0.006,0.14,1.12,0.009,0.011,0.53,0.04,1.57
"Rye, grain, whole, uncooked",12.96,0.111,0.1,0.003,0,0.037,0.005,0,0.01,0,0,0.014,0.41,2.77,0.028,0.037,1.16,0.05,5.1
"Rye, rolled, uncooked",12.78,0.104,0.096,0.002,0,0.031,0.01,0,0.01,0,0,0.013,0.38,2.66,0.022,0.027,1.08,0.03,5.1
"Sorghum, grain, uncooked",14.65,0.082,0.122,0.004,0,0.058,0.001,0,0,0,0,0.004,0.1,2.73,0.014,0.023,1.24,0.01,3.63
"Triticale, grain, uncooked",13.61,0.096,0.105,0.004,0,0.037,0.002,0,0,0,0,0.012,0.27,2.45,0.021,0.036,1.14,0.05,3.32
"Semolina, uncooked",12.98,0.107,0.14,0.002,0,0.037,0.001,0,0,0,0,0.002,0.16,1.1,0.005,0.006,0.23,0.03,1.12
"Semolina, boiled, no added fat or salt",4.13,0.034,0.726,0,0,0.012,0,0,0,0,0,0.001,0.06,0.35,0.002,0.002,0.08,0.03,0.36
"Spelt, uncooked",13.88,0.117,0.102,0.004,0,0.094,0.002,0,0,0,0,0.007,0.21,3.23,0.019,0.028,1.22,0.03,3.3
"Spelt, boiled, no added fat or salt",5.76,0.048,0.628,0.002,0,0.039,0.001,0,0,0,0,0.003,0.12,1.34,0.008,0.012,0.53,0.07,1.37
"Tapioca, pearl or seed style, uncooked",13.59,0.002,0.12,0.001,0,0.004,0,0,0,0,0,0,0.16,0.08,0.001,0.017,0.04,0.01,0.23
"Tapioca, pearl or seed style, boiled, no added fat or salt",1.97,0,0.872,0,0,0.001,0,0,0,0,0,0,0.04,0.01,0,0.003,0.02,0.03,0.04
"Wheat, whole, uncooked",13.62,0.112,0.103,0.005,0.001,0.063,0.002,0,0,0,0,0.009,0.35,3.02,0.02,0.034,1.2,0.02,3.15
"Wheat bran, unprocessed, uncooked",11.19,0.148,0.09,0.007,0,0.234,0.004,0,0.01,0,0,0.009,0.75,10,0.072,0.11,4.5,0.06,12
Wheat germ,12.85,0.206,0.104,0.015,0,0.112,0.004,0,0.01,0,0,0.071,0.64,7.8,0.077,0.09,2.7,0.04,9.1
"Rice, white, uncooked",14.22,0.07,0.131,0.001,0,0.024,0.001,0,0,0,0,0,0.04,0.9,0.012,0.002,0.2,0.01,0.58
"Rice, white, boiled or rice cooker, no added salt",6.59,0.031,0.618,0,0,0.006,0,0,0,0,0,0,0.02,0.28,0.006,0,0.04,0,0.25
"Rice, white, purchased as 'instant', microwaved",6.43,0.034,0.605,0,0,0.006,0,0,0,0,0,0.002,0.02,0.27,0.005,0,0.04,0.21,0.19
"Rice, white, fried with bacon or ham, egg, prawns & vegetables",9.2,0.057,0.539,0.001,0.001,0.024,0.005,0.016,0.09,0,0,0.002,0.1,1.75,0.011,0.009,0.1,5,0.36
"Rice, brown, uncooked",14.52,0.076,0.14,0.004,0,0.075,0.002,0,0,0,0,0.013,0.07,3.14,0.017,0.008,1.19,0.02,2.3
"Rice, brown, boiled, no added salt",6.93,0.041,0.588,0.001,0,0.043,0,0,0,0,0,0.002,0.07,1.6,0.001,0.006,0.72,0.02,1.1
"Rice, wild, uncooked",15.05,0.147,0.078,0.001,0.003,0.098,0.004,0,0.02,0,0,0.008,0.21,4.33,0.06,0.02,1.77,0.07,4.27
"Rice, wild, boiled, no added salt",4.26,0.04,0.739,0.001,0.001,0.021,0.001,0,0,0,0,0.002,0.03,0.82,0.013,0.006,0.32,0.03,1.01
"Rice paper wrapper, soaked in water",6.46,0.033,0.591,0.001,0,0.022,0.001,0,0,0,0,0.003,0.04,0.91,0.007,0.002,0.32,7.66,0.65
"Flour, arrowroot",13.78,0.004,0.12,0.001,0,0.006,0,0,0,0,0,0,0.35,0.07,0,0.005,0.04,0.02,0.12
"Flour, cornflour, from maize starch",14.58,0.004,0.11,0,0,0,0,0,0,0,0,0,0.03,0.14,0,0,0.03,0.16,0.09
"Flour, cornflour, from maize & wheat starch",14.66,0.006,0.115,0,0,0.005,0,0,0,0,0,0.005,0.08,0.43,0.001,0.008,0.05,0.1,0.16
"Flour, chickpea (besan)",13.73,0.197,0.083,0.006,0,0.046,0.026,0,0.11,0.03,0,0.017,1.59,2.96,0.031,0.046,1.34,0.11,3.96
"Flour, rice",14.37,0.073,0.136,0.002,0,0.05,0.002,0,0,0,0,0.007,0.06,2.02,0.015,0.005,0.7,0.01,1.44
"Flour, rye",13.48,0.114,0.11,0.004,0.001,0.033,0.002,0,0.01,0,0,0.009,0.44,3.97,0.021,0.04,1.23,0.04,4.32
"Flour, soya",15.43,0.498,0.046,0.011,0.003,0.148,0.011,0,0.04,0,0,0.006,2.85,6.75,0.041,0.082,2.85,0.09,20.9
"Flour, spelt",14.7,0.187,0.103,0.004,0,0.082,0.001,0,0,0,0,0,0.29,3.3,0.03,0.048,1.1,0.02,3.3
"Flour, wheat, white, plain",14.79,0.1,0.122,0.002,0,0.032,0.001,0,0,0,0,0.001,0.21,1.3,0.008,0.012,0.36,0.03,1.7
"Flour, wheat, white, plain, added vitamins B1, B2, B3, B6, E & folate & Fe, Mg & Zn (Jackaroo)",14.17,0.111,0.127,0.008,0.005,0.066,0.006,0,0,0,0,0.044,0.22,1.4,0.029,0.058,1.2,0.04,1.8
"Flour, wheat, white, self-raising",14.79,0.1,0.122,0.002,0,0.032,0.001,0,0,0,0,0.001,0.59,6.2,0.008,0.012,0.33,7.4,1.5
"Flour, wheat, white, self-raising, added vitamins B1, B2, B3, B6, E & folate & Fe, Mg & Zn (Jackaroo)",13.73,0.107,0.123,0.008,0.005,0.064,0.006,0,0,0,0,0.043,0.21,1.36,0.028,0.056,1.16,8.52,1.74
"Flour, wheat, white, high protein or bread making flour",14.64,0.117,0.128,0.005,0,0.036,0.001,0,0,0,0,0.001,0.21,1.3,0.008,0.012,0.36,0.03,1.7
"Flour, wheat, wholemeal, plain",13.71,0.116,0.112,0.005,0,0.059,0.001,0,0,0,0,0.004,0.29,2.3,0.017,0.028,0.89,0.02,3.1
"Flour, gluten free, plain",14.8,0.034,0.119,0,0,0.007,0,0,0,0,0,0,0.24,0.79,0.005,0.008,0.27,0.21,1.2
